"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","sqft_above","sqft_basement","yr_built","yr_renovated","street","city","statezip","country"
"3764",392000,5,2.25,3740,32481,1.5,0,0,3,2240,1500,1958,2004,"22835 16th Ave S","Des Moines","WA 98198","USA"
"391",839900,4,3.5,3810,13592,1,0,1,3,2560,1250,2013,1923,"2411 Meadow Ave N","Renton","WA 98056","USA"
"3180",367500,3,1,1660,11783,1,0,0,4,1160,500,1978,2000,"17619 197th Ave NE","Woodinville","WA 98077","USA"
"1762",1070000,4,3.75,4130,12320,2,0,0,3,4130,0,2001,0,"14212 SE 92nd St","Newcastle","WA 98059","USA"
"1010",120750,3,1.75,1140,9628,1,0,0,4,1140,0,1969,0,"34403 30th Ave SW","Federal Way","WA 98023","USA"
"4548",264270,3,2.5,1630,7700,1,0,0,3,1120,510,1978,0,"9812 S 239th Pl","Kent","WA 98031","USA"
"4116",585000,4,2.5,2630,6185,2,0,0,3,2630,0,1999,0,"3505 Monterey Ct NE","Renton","WA 98056","USA"
"4060",370000,3,1.75,1570,16817,2,0,0,3,1570,0,1982,0,"43719 SE 142nd St","North Bend","WA 98045","USA"
"1989",189000,3,1,1010,7560,1,0,0,3,1010,0,1958,2004,"17026 124th Ave SE","Renton","WA 98058","USA"
"3466",815000,3,2,2270,11989,1,0,0,4,2270,0,1968,0,"6600 mango St","Mercer Island","WA 98040","USA"
"2642",421000,3,2.5,2890,21780,2,0,0,3,2890,0,2000,0,"3717 S 189th Pl","SeaTac","WA 98188","USA"
"3259",350000,4,3,2560,5606,2,0,0,3,2560,0,2004,2003,"12251 SE 306th Ct","Auburn","WA 98092","USA"
"345",489990,5,2.25,2440,20828,1.5,0,0,4,2440,0,1975,0,"13711 SE 251 Pl","Kent","WA 98042","USA"
"2647",430000,3,2,1730,9000,1,0,0,3,1370,360,1978,0,"975-1005 Greenwood Blvd SW","Issaquah","WA 98027","USA"
"4349",2199900,4,1.5,1120,5427,1,0,0,3,1120,0,1969,2014,"19009-19021 SE 266th St","Covington","WA 98042","USA"
"1226",556000,5,2.5,3840,16905,2,0,0,3,3840,0,1991,0,"739 SW 337th St","Federal Way","WA 98023","USA"
"329",205000,2,1,720,5040,1,0,0,3,720,0,1955,2005,"8448 Delridge Way SW","Seattle","WA 98106","USA"
"3391",395000,2,2.25,1350,1493,2,0,0,3,1050,300,2007,0,"4313 SW Willow St","Seattle","WA 98136","USA"
"3489",660000,3,1,1210,9622,1,0,1,3,1210,0,1955,2009,"12016 SE 42nd St","Bellevue","WA 98006","USA"
"2680",560000,3,2,2340,3477,1,0,1,5,1170,1170,1971,0,"5200 S Frontenac St","Seattle","WA 98118","USA"
"978",792000,3,1.5,1570,1050,2,0,0,3,1570,0,1915,0,"1833 1st Ave N","Seattle","WA 98109","USA"
"3528",672500,3,2.25,2400,5300,1.5,0,0,4,1250,1150,1939,1989,"8022 22nd Ave NW","Seattle","WA 98117","USA"
"2449",304000,3,1,1280,8184,1.5,0,0,4,1280,0,1947,1988,"16225 10th Ave NE","Shoreline","WA 98155","USA"
"574",771000,3,2.25,1780,6120,1.5,0,0,4,1390,390,1927,0,"171 Lake Washington Blvd","Seattle","WA 98122","USA"
"3459",1145000,3,2.5,2490,4000,2,0,0,5,1670,820,1918,0,"2407 4th Ave N","Seattle","WA 98109","USA"
"472",1225000,4,4.5,5420,101930,1,0,0,3,3890,1530,2001,0,"25005 NE Patterson Way","Redmond","WA 98053","USA"
"3340",299950,3,1.75,1790,7650,1,0,3,3,1790,0,1978,0,"31317 41st Pl SW","Federal Way","WA 98023","USA"
"3311",386000,4,2.25,2050,9583,2,0,2,3,1770,280,1965,1993,"22500-22614 16th Ave S","Des Moines","WA 98198","USA"
"3154",1700000,3,2.75,2810,18731,2,1,4,4,2810,0,1974,0,"2860 West Lake Sammamish Pkwy NE","Redmond","WA 98052","USA"
"568",799200,6,3,2890,2370,2.5,0,0,3,2290,600,1906,2014,"420 Boylston Ave E","Seattle","WA 98102","USA"
"1446",370000,3,1,800,2296,1,0,0,4,800,0,1908,0,"125 N Bowdoin Pl","Seattle","WA 98103","USA"
"1119",556000,3,2.25,2020,3600,2,0,0,3,2020,0,1998,2006,"13031 NE 70th Dr","Kirkland","WA 98033","USA"
"628",306000,3,1.5,1220,1086,3,0,0,3,1220,0,2007,0,"353 N 105th St","Seattle","WA 98133","USA"
"1242",950000,5,3.25,3400,7452,2,0,0,3,3400,0,1999,0,"15251 NE 6th St","Bellevue","WA 98007","USA"
"4426",87500,2,1,780,6685,1,0,0,4,780,0,1948,0,"311 L St SE","Auburn","WA 98002","USA"
"2148",550000,3,1.75,1380,3402,1.5,0,0,3,1380,0,1900,2000,"929 24th Ave","Seattle","WA 98122","USA"
"3858",394500,4,2.5,3002,6042,2,0,0,3,3002,0,2004,2003,"11619 SE 200th St","Kent","WA 98031","USA"
"1078",1580000,3,3.25,3690,7200,2,0,0,3,3690,0,2007,0,"440 8th Ave","Kirkland","WA 98033","USA"
"650",538000,3,1.75,1400,3825,1.5,0,0,4,1100,300,1904,0,"6917 28th Ave NW","Seattle","WA 98117","USA"
"3616",650000,2,1,1050,2542,1,0,0,3,880,170,1904,0,"1723 27th Ave","Seattle","WA 98122","USA"
"3368",260000,3,1.5,1580,8184,1,0,0,3,1140,440,1954,2005,"19307 4th Ave S","Des Moines","WA 98148","USA"
"847",379950,3,3.25,1860,1787,3,0,0,3,1860,0,2007,0,"17510 12th Ave NE","Shoreline","WA 98155","USA"
